air_temp,apd,day,dewpoint,dpd,gust,hour,lat,lat_attr,lon,lon_attr,minute,month,mwd,obs_time,pressure,ptdy,station_id,tide,vis,water_temp,wave_height,wind_dir,wind_speed
8.3,,2,,,,15,37.24,37.24,126.02,126.02,0,4,,4/2/2018 15:00:00,1016.5,,22101,,,4.9,,160,5
9.9,,2,,,,15,34.79,34.79,125.78,125.78,0,4,,4/2/2018 15:00:00,1017.1,,22102,,,7.9,,160,2
15.8,,2,,,,15,34,34,127.5,127.5,0,4,,4/2/2018 15:00:00,1017.4,,22103,,,14.3,,190,4
14.6,,2,,,,15,34.77,34.77,128.9,128.9,0,4,,4/2/2018 15:00:00,1017.9,,22104,,,14.4,,220,4
14.3,,2,,,,15,37.54,37.54,130,130,0,4,,4/2/2018 15:00:00,1013.1,,22105,,,12.7,,280,2
17.2,,2,,,,15,36.35,36.35,129.78,129.78,0,4,,4/2/2018 15:00:00,1014,,22106,,,14.2,,280,8
17.7,,2,,,,15,33.08,33.08,126.03,126.03,0,4,,4/2/2018 15:00:00,1017.7,,22107,,,17.1,,170,4
8.3,,2,,,,15,36.25,36.25,125.75,125.75,0,4,,4/2/2018 15:00:00,1016.8,,22108,,,6,,170,4
,7,2,,14,,14,-19.425,-19.425,-85.078,-85.078,50,4,,4/2/2018 14:50:00,,,32012,,,,2.8,,
21.6,,2,18.6,,7,15,31.76,31.76,-74.84,-74.84,10,4,,4/2/2018 15:10:00,1019.3,,41002,,,22,,220,6
19,,2,17,,6,15,32.501,32.501,-79.099,-79.099,10,4,,4/2/2018 15:10:00,1018.8,,41004,,,19.5,,250,5
16.5,6.3,2,16.5,10,3,14,31.4,31.4,-80.868,-80.868,50,4,83,4/2/2018 14:50:00,1018.4,0.9,41008,,,16.7,0.5,260,2
23.4,,2,19.9,,5,15,28.501,28.501,-80.184,-80.184,10,4,,4/2/2018 15:10:00,1018.8,,41009,,,23.7,,180,4
22.9,,2,18.2,,4,15,28.872,28.872,-78.493,-78.493,10,4,,4/2/2018 15:10:00,1019.5,,41010,,,23.9,,140,3
19.2,,2,14.8,,8,15,33.436,33.436,-77.743,-77.743,10,4,,4/2/2018 15:10:00,1018.2,,41013,,,19.6,,240,7
14.8,,2,,,6,15,33.837,33.837,-78.484,-78.484,8,4,,4/2/2018 15:08:00,1017.2,,41024,,,14.3,,220,5
19.5,,2,18.1,,11,15,35.005,35.005,-75.403,-75.403,10,4,,4/2/2018 15:10:00,1016.8,,41025,,,21.8,,240,9
15.8,,2,,,3,15,32.803,32.803,-79.624,-79.624,8,4,,4/2/2018 15:08:00,1018,,41029,,,15.2,,200,3
17.3,,2,,,3,15,32.279,32.279,-80.41,-80.41,8,4,,4/2/2018 15:08:00,1018.4,,41033,,,16,,210,2
17.6,,2,,,11,15,33.989,33.989,-77.361,-77.361,8,4,,4/2/2018 15:08:00,1017.7,,41037,,,,,220,8
15.2,,2,,,7,15,34.142,34.142,-77.719,-77.719,8,4,,4/2/2018 15:08:00,1016.8,,41038,,,13.5,,220,5
,,2,,,8,15,14.559,14.559,-53.073,-53.073,10,4,,4/2/2018 15:10:00,,,41040,,,,,90,7
,,2,,,8,15,14.329,14.329,-46.082,-46.082,10,4,,4/2/2018 15:10:00,1015,,41041,,,,,90,7
25,,2,20,,8,15,21.132,21.132,-64.856,-64.856,10,4,,4/2/2018 15:10:00,1016.3,,41043,,,25.4,,100,6
23.1,,2,22.6,,9,15,21.597,21.597,-58.621,-58.621,10,4,,4/2/2018 15:10:00,1017.1,,41044,,,25.4,,110,6
,,2,,,5,15,23.832,23.832,-68.417,-68.417,10,4,,4/2/2018 15:10:00,1017.9,,41046,,,24.9,,110,4
,,2,,,6,15,27.52,27.52,-71.53,-71.53,10,4,,4/2/2018 15:10:00,1020.2,,41047,,,,,80,5
,,2,,,4,15,31.86,31.86,-69.59,-69.59,10,4,,4/2/2018 15:10:00,1020.5,,41048,,,,,220,3
,,2,,,7,15,27.487,27.487,-62.947,-62.947,10,4,,4/2/2018 15:10:00,1019.7,,41049,,,23.4,,100,5
26.3,,2,,,5,15,18.251,18.251,-64.763,-64.763,0,4,,4/2/2018 15:00:00,1014,0.7,41052,,,,,100,4
25.9,,2,,9,6,15,18.474,18.474,-66.099,-66.099,0,4,40,4/2/2018 15:00:00,1014.2,0,41053,,,26.4,1.1,70,5
25.7,,2,,9,6,15,18.26,18.26,-65.457,-65.457,0,4,24,4/2/2018 15:00:00,1015,0.6,41056,,,,0.8,100,5
,,2,,,10,15,35.778,35.778,-75.095,-75.095,0,4,,4/2/2018 15:00:00,1016.5,0.5,41062,,,,,,8
19.2,,2,,,11,14,34.782,34.782,-75.941,-75.941,0,4,,4/2/2018 14:00:00,1017.1,0.9,41063,,,,,250,9
17.6,,2,,,7,15,34.207,34.207,-76.949,-76.949,8,4,,4/2/2018 15:08:00,1017.4,,41064,,,16.1,,230,5
,3.9,2,,10,,15,33.721,33.721,-78.015,-78.015,0,4,132,4/2/2018 15:00:00,,,41108,,,14.5,0.5,,
,3.8,2,,4,,15,34.141,34.141,-77.717,-77.717,0,4,149,4/2/2018 15:00:00,,,41110,,,13.4,0.6,,
,6,2,,8,,15,30.709,30.709,-81.292,-81.292,0,4,83,4/2/2018 15:00:00,,,41112,,,17.9,0.6,,
,5.1,2,,10,,14,28.4,28.4,-80.534,-80.534,53,4,94,4/2/2018 14:53:00,,,41113,,,21.6,0.5,,
,5.6,2,,9,,15,27.55,27.55,-80.217,-80.217,0,4,52,4/2/2018 15:00:00,,,41114,,,23.9,0.7,,
,6.1,2,,8,,15,18.379,18.379,-67.28,-67.28,0,4,16,4/2/2018 15:00:00,,,41115,,,26.7,0.8,,
,,2,,9,,14,30,30,-81.08,-81.08,52,4,,4/2/2018 14:52:00,,,41117,,,18.1,0.7,,
,5.5,2,,8,,15,28.609,28.609,-80.59,-80.59,0,4,46,4/2/2018 15:00:00,,,41118,,,20.6,0.6,,
,4,2,,9,,15,34.21,34.21,-76.948,-76.948,0,4,112,4/2/2018 15:00:00,,,41159,,,16.1,0.8,,
25.5,,2,20.7,,,13,14.754,14.754,-50.949,-50.949,30,4,,4/2/2018 13:30:00,1014,,41NT0,,,25.9,,90,6
24.2,,2,21.7,,5,15,25.897,25.897,-89.668,-89.668,10,4,,4/2/2018 15:10:00,1016.5,,42001,,,24.7,,130,4
23.6,4.7,2,,6,9,14,26.091,26.091,-93.758,-93.758,50,4,153,4/2/2018 14:50:00,1013.7,1.4,42002,,,23.4,1.3,150,8
24.1,,2,20.7,,7,15,25.93,25.93,-85.638,-85.638,10,4,,4/2/2018 15:10:00,1017.5,,42003,,,26,,110,5
20.7,,2,20.5,,3,15,30.064,30.064,-87.551,-87.551,10,4,,4/2/2018 15:10:00,1017.7,,42012,,,,,140,2
,,2,,,4,14,27.173,27.173,-82.924,-82.924,30,4,,4/2/2018 14:30:00,,,42013,,,20.9,,160,3
22.8,4.5,2,,5,6,14,27.907,27.907,-95.352,-95.352,50,4,117,4/2/2018 14:50:00,1012.7,0.9,42019,,,22.2,1.1,140,5
23.2,,2,21.8,,8,15,26.969,26.969,-96.694,-96.694,10,4,,4/2/2018 15:10:00,1011.9,,42020,,,22.5,,150,6
,,2,,,3,14,27.504,27.504,-83.741,-83.741,30,4,,4/2/2018 14:30:00,,,42022,,,21.5,,,2
22.2,4.2,2,22.2,5,2,14,29.232,29.232,-94.413,-94.413,50,4,161,4/2/2018 14:50:00,1014.6,1.8,42035,,,21.8,0.7,180,1
22,3.8,2,19.6,8,5,14,28.788,28.788,-86.008,-86.008,50,4,177,4/2/2018 14:50:00,1017.7,1.3,42039,,,22.4,0.4,150,4
22.4,,2,20.8,,4,15,29.208,29.208,-88.226,-88.226,10,4,,4/2/2018 15:10:00,1017.6,,42040,,,22.1,,130,3
22.2,,2,,,9,14,26.217,26.217,-96.5,-96.5,0,4,,4/2/2018 14:00:00,1011.7,,42045,,,22.9,,170,7
,,2,,,8,14,27.896,27.896,-93.597,-93.597,0,4,,4/2/2018 14:00:00,1013.9,0.9,42047,,,22.3,,160,7
25.2,,2,23,,11,15,22.12,22.12,-93.96,-93.96,10,4,,4/2/2018 15:10:00,1013.2,,42055,,,25.2,,110,9
26.6,,2,21.3,,7,15,19.918,19.918,-84.938,-84.938,10,4,,4/2/2018 15:10:00,1015.9,,42056,,,26.8,,70,6
26.6,,2,21.8,,6,15,16.908,16.908,-81.422,-81.422,10,4,,4/2/2018 15:10:00,1014.3,,42057,,,27.2,,60,5
,,2,,,7,15,14.888,14.888,-74.575,-74.575,10,4,,4/2/2018 15:10:00,1014.3,,42058,,,26.8,,70,6
26.2,,2,21,,8,15,15.252,15.252,-67.51,-67.51,10,4,,4/2/2018 15:10:00,1013.9,,42059,,,26.8,,70,7
26.4,,2,22.1,,6,15,16.387,16.387,-63.35,-63.35,10,4,,4/2/2018 15:10:00,1014.8,,42060,,,27,,80,5
27.5,,2,,,7,14,17.86,17.86,-66.524,-66.524,0,4,,4/2/2018 14:00:00,1014.2,1.2,42085,,,27.1,,70,5
,2.8,2,,3,,15,25.7,25.7,-83.65,-83.65,0,4,90,4/2/2018 15:00:00,,,42097,,,23.6,0.5,,
,2.7,2,,,,15,27.589,27.589,-82.931,-82.931,0,4,,4/2/2018 15:00:00,,,42098,,,21.8,0.2,,
,3.6,2,,6,,15,27.345,27.345,-84.275,-84.275,0,4,203,4/2/2018 15:00:00,,,42099,,,23.5,0.3,,
,,2,,,6,14,26.672,26.672,-90.471,-90.471,0,4,,4/2/2018 14:00:00,1015.5,1.5,42360,,,,,160,6
23.3,,2,20,,,14,27.55,27.55,-92.49,-92.49,30,4,,4/2/2018 14:30:00,1014.9,1.4,42361,,,,,130,7
21.7,,2,21.1,,,14,29.06,29.06,-88.09,-88.09,30,4,,4/2/2018 14:30:00,1016.9,1.3,42364,,,,,140,
23.3,,2,19.8,,,14,28.2,28.2,-89.12,-89.12,30,4,,4/2/2018 14:30:00,,,42365,,,,,210,4
23.9,,2,21.7,,,13,26.129,26.129,-94.898,-94.898,30,4,,4/2/2018 13:30:00,1012.2,,42390,,,,,,
23.1,,2,19.9,,,14,28.157,28.157,-89.24,-89.24,30,4,,4/2/2018 14:30:00,,,42394,,,,,,
-0.2,5.7,2,-1.9,8,4,14,43.525,43.525,-70.141,-70.141,50,4,133,4/2/2018 14:50:00,1020.9,0.5,44007,,,4.1,0.5,170,3
5.8,4.5,2,,4,,14,40.504,40.504,-69.248,-69.248,50,4,68,4/2/2018 14:50:00,1016.6,-0.7,44008,,,5.9,1.1,,
4.3,4.7,2,2.9,6,15,14,38.461,38.461,-74.703,-74.703,50,4,21,4/2/2018 14:50:00,1016.6,3.2,44009,,,6,1.9,10,12
-0.2,4.7,2,,5,4,14,42.346,42.346,-70.651,-70.651,50,4,91,4/2/2018 14:50:00,1020.8,0.5,44013,,,4.9,0.4,290,3
11.1,3.6,2,11.1,8,6,14,36.611,36.611,-74.843,-74.843,50,4,115,4/2/2018 14:50:00,1015.2,0.3,44014,,,8.9,0.6,230,5
1,4.1,2,1,5,9,14,40.693,40.693,-72.049,-72.049,50,4,52,4/2/2018 14:50:00,1020.2,0.8,44017,,,4.8,0.9,20,8
0.5,3.1,2,0.5,3,5,14,41.439,41.439,-70.186,-70.186,50,4,65,4/2/2018 14:50:00,1020.4,0.4,44020,,,4.8,0.3,40,5
1.7,4.3,2,,5,11,14,40.251,40.251,-73.164,-73.164,50,4,62,4/2/2018 14:50:00,1019.5,1.7,44025,,,4.8,1.3,30,9
,5.2,2,,6,,14,44.287,44.287,-67.307,-67.307,50,4,185,4/2/2018 14:50:00,1020.6,0.7,44027,,,4.4,0.7,,
0,,2,,5,,14,42.523,42.523,-70.566,-70.566,4,4,,4/2/2018 14:04:00,1019.9,,44029,,,4.6,0.6,,
0.1,,2,,5,3,14,43.181,43.181,-70.428,-70.428,4,4,,4/2/2018 14:04:00,1019.4,,44030,,,4.4,0.4,190,2
2.2,,2,,8,1,14,43.716,43.716,-69.355,-69.355,4,4,,4/2/2018 14:04:00,1019.8,,44032,,,,0.5,,0
1.5,,2,,8,2,14,44.055,44.055,-68.998,-68.998,4,4,,4/2/2018 14:04:00,1020.6,,44033,,,3.9,0.3,350,1
1.2,,2,,6,2,14,44.106,44.106,-68.109,-68.109,4,4,,4/2/2018 14:04:00,1020.1,,44034,,1.4,4.2,0.6,90,2
1.9,,2,,6,2,14,43.491,43.491,-67.88,-67.88,4,4,,4/2/2018 14:04:00,1020.2,,44037,,1.6,,0.8,70,1
0.3,,2,,,6,14,41.138,41.138,-72.655,-72.655,45,4,,4/2/2018 14:45:00,,,44039,,,,0.3,50,5
,5.5,2,,9,,15,36.2,36.2,-75.714,-75.714,0,4,107,4/2/2018 15:00:00,,,44056,,,8.4,0.5,,
5,,2,,,8,15,38.556,38.556,-76.415,-76.415,10,4,,4/2/2018 15:10:00,1018.8,,44062,,,,,70,7
1.4,,2,0.5,,10,15,40.369,40.369,-73.703,-73.703,10,4,,4/2/2018 15:10:00,1020,,44065,,,5.5,,50,8
4.3,5.2,2,3.7,6,15,14,39.568,39.568,-72.586,-72.586,50,4,47,4/2/2018 14:50:00,1016,-0.4,44066,,,7.6,2.1,30,13
,4,2,,9,,15,36.612,36.612,-74.838,-74.838,0,4,116,4/2/2018 15:00:00,,,44088,,,8.7,0.6,,
,3.3,2,,3,,15,37.757,37.757,-75.334,-75.334,0,4,20,4/2/2018 15:00:00,,,44089,,,7.2,0.7,,
